,homeTeam,awayTeam,finalHomeScore,finalAwayScore,solHomePred,solAwayPred,solPoints,philHomePred,philAwayPred,philPoints,jonnyHomePred,jonnyAwayPred,jonnyPoints,lilaHomePred,lilaAwayPred,lilaPoints,jacobHomePred,jacobAwayPred,jacobPoints,samHomePred,samAwayPred,samPoints,weekNum,solBanker,solInsurance,philBanker,philInsurance,jonnyBanker,jonnyInsurance,samBanker,samInsurance,jacobBanker,jacobInsurance,lilaBanker,lilaInsurance
aff42c71-afd3-4aca-8c53-5df379c538fa,Man City,Burnley,5,0,2,0,10,2,1,10,3,0,20,3,1,10,2,0,10,2,1,10,26,False,False,False,False,True,False,False,False,False,False,False,False
fedeb642-a2ed-4f93-a74c-6ee6dcf8592c,Leicester,Brighton,0,0,2,0,-10,2,0,-10,2,0,-10,2,0,-10,2,0,-10,2,1,-10,27,False,False,False,False,False,False,False,False,False,False,False,False
2fa7811c-f8fd-4cfc-9f81-8f0d7b6ab88f,Tottenham,West Ham,2,0,2,0,90,0,0,0,1,0,30,2,1,30,2,0,30,1,0,10,27,True,False,False,True,True,False,False,False,False,False,True,False
39213be8-df1e-4803-ac7e-c5e36ef38c56,Man Utd,Sheffield United,3,0,0,1,-10,2,0,30,2,1,10,2,1,10,1,1,-10,2,1,10,27,False,False,True,False,False,False,False,False,False,False,False,False
286a2f3a-98af-4e64-8f76-e226b8c95caa,Newcastle,Aston Villa,1,1,0,0,20,1,1,30,2,0,-10,2,0,-10,2,1,-10,2,0,-10,27,False,False,False,False,False,False,False,False,False,False,False,False
f9999361-86d5-458f-8cd3-68f56d2f484e,Norwich City,Everton,0,1,1,2,15,0,2,10,1,1,-10,0,2,10,1,1,-10,1,1,-10,27,False,False,False,False,False,False,False,False,False,False,False,False
eec89829-61ad-42a7-a177-8c393722f2a6,Wolves,Bournemouth,1,0,2,0,10,2,1,15,2,0,10,2,0,10,2,0,30,2,0,30,27,False,False,False,False,False,False,True,False,True,False,False,False
7d819417-1174-4ec6-92f0-3e85124777dd,Liverpool,Crystal Pal,4,0,4,0,30,1,1,-10,3,0,10,2,0,10,2,0,10,2,1,10,27,False,False,False,False,False,False,False,False,False,False,False,False
3cbd3020-bb4b-43a4-8479-79b14264ae2a,Burnley,Watford,1,0,1,1,-10,1,1,-10,0,0,-10,0,1,-10,1,1,-10,1,1,-10,27,False,False,False,False,False,False,False,False,False,False,False,False
5810282f-0652-43c2-a159-ff50bb861fc7,Southampton,Arsenal,0,2,0,1,10,2,1,-10,2,1,-10,1,2,10,1,1,-10,1,2,10,27,False,False,False,False,False,False,False,False,False,False,False,True
85dc665e-fe27-4c13-92d3-e374945eb97c,Chelsea,Man City,2,1,1,1,0,2,2,-10,1,2,0,2,2,-10,1,2,0,2,2,0,27,False,True,False,False,False,True,False,True,False,True,False,False
